product_type,product_name,product_description,brand,model_series,is_published,default_selling_price
AC,AirPods 4,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,AirPods,true,19000
AC,AirPods 4 ANC,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,AirPods,true,26500
AC,AirPods Max (Type-C),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,AirPods,true,76000
AC,AirPods Pro 2,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,AirPods,true,30000
AC,AirPods Pro 3 (2 Years Warranty),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,AirPods,true,35000
AC,Apple 20W Adapter (2-pin),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Accessory,true,4800
AC,Apple Pencil 2,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Accessory,true,12500
AC,Apple Pencil 2 (Type-C),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Accessory,true,14000
AC,Apple Pencil 2 Pro,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Accessory,true,19999
AC,Apple Watch SE 2 40mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,29000
AC,Apple Watch SE 2 44mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,31000
AC,Apple Watch SE 3 40mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,38000
AC,Apple Watch SE 3 44mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,42000
AC,Apple Watch Series 10 42mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,47500
AC,Apple Watch Series 10 46mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,48000
AC,Apple Watch Series 11 42mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,49000
AC,Apple Watch Series 11 46mm,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,54000
AC,Apple Watch Ultra 3 49mm (2025),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,108500
AC,Apple Watch Ultra 3 49mm Milanese (2025),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Apple Watch,true,132000
LT,Mac Mini M4,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Mac,true,110000
LT,"MacBook 13"" Neo",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,MacBook,true,94500
LT,"MacBook Air M4 13""",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,MacBook,true,147000
LT,"MacBook Air M5 13""",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,MacBook,true,155000
LT,"MacBook Pro M4 Pro 14.2""",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,MacBook,true,267000
LT,"MacBook Pro M5 14.2""",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,MacBook,true,227000
LT,"MacBook Pro M5 Pro 14.2""",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,MacBook,true,304000
AC,Magic Mouse (Black),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Accessory,true,16000
AC,Magic Mouse (White),Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,Accessory,true,13500
TB,iPad 11th Gen Cellular,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,73500
TB,iPad 11th Gen WiFi,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,53000
TB,iPad Air M3 Cellular,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,101000
TB,iPad Air M3 WiFi,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,83000
