product_slug,product_name,category,headline,seo_title,seo_description,is_published,source_file,body_chars
sony-xperia-5-iv,Sony Xperia 5 IV,buying_guide,Sony Xperia 5 IV Review: The Compact Flagship That Refuses to Compromise,Sony Xperia 5 IV Review: Compact Flagship in Kenya | Affordable Gadgets,"Is the Sony Xperia 5 IV Kenya's best compact flagship? We review its Zeiss camera, 3.5mm jack, SD card slot & Snapdragon 8 Gen 1. Available at Affordable Gadgets KE.",True,blog_content/batches/001-early-birds/001-sony-xperia-5-iv.json,2490
sony-xperia-10-v,Sony Xperia 10 V,buying_guide,Sony Xperia 10 V Review: The World's Lightest 5G Phone With a Monster Battery,Sony Xperia 10 V Review: Lightest 5G Phone in Kenya | Affordable Gadgets,"The Sony Xperia 10 V weighs just 159g yet packs a 5,000mAh battery. Read our full review covering camera, display, and value. Available in Nairobi at Affordable Gadgets KE.",True,blog_content/batches/001-early-birds/002-sony-xperia-10-v.json,2743
samsung-galaxy-a42-5g,Galaxy A42 5G,buying_guide,Samsung Galaxy A42 5G Review: Affordable 5G for Everyday Users in Kenya,Samsung Galaxy A42 5G Review: Budget 5G Phone in Kenya | Affordable Gadgets,"Is the Samsung Galaxy A42 5G the best entry point to 5G in Kenya? We review its Super AMOLED display, battery life, and value. Available at Affordable Gadgets KE.",True,blog_content/batches/001-early-birds/003-galaxy-a42-5g.json,2748
samsung-galaxy-s20-fe-5g,Galaxy S20 FE 5G,buying_guide,Samsung Galaxy S20 FE 5G Review: The Fan Edition That Still Delivers in 2026,Samsung Galaxy S20 FE 5G Review: Still Worth It in 2026? | Affordable Gadgets,"The Galaxy S20 FE 5G remains one of the best-value flagship experiences. We review its 120Hz display, Snapdragon 865, and camera in 2026. Available at Affordable Gadgets KE.",True,blog_content/batches/001-early-birds/004-galaxy-s20-fe-5g.json,2828
google-pixel-7a,Pixel 7A,buying_guide,Google Pixel 7A Review: The Best Camera You Can Get Under 50K in Kenya,Google Pixel 7A Review: Best Camera in Mid-Range | Affordable Gadgets KE,"The Google Pixel 7A brings flagship camera intelligence to the mid-range. We review its Tensor G2 chip, 64MP camera, and value. Available at Affordable Gadgets KE.",True,blog_content/batches/001-early-birds/005-google-pixel-7a.json,3140
iphone-16,iPhone 16,buying_guide,iPhone 16 Review: The Base Model That Finally Feels Premium in 2026,iPhone 16 Review: Apple's Best Base Model Yet | Affordable Gadgets KE,"Is the iPhone 16 the best entry-level iPhone in 2026? We review its A18 chip, 48MP camera, Action Button, and battery life. Available at Affordable Gadgets KE.",True,blog_content/batches/002-apple-iphone-16/001-iphone-16.json,2475
iphone-16-plus,iPhone 16 Plus,buying_guide,"iPhone 16 Plus Review: Big Screen, Big Battery, Smart Price",iPhone 16 Plus Review: Big iPhone Without Pro Price | Affordable Gadgets KE,The iPhone 16 Plus gives you a huge 6.7-inch OLED display and all-day battery without the Pro price tag. Read our full review. Available at Affordable Gadgets KE.,True,blog_content/batches/002-apple-iphone-16/002-iphone-16-plus.json,2470
iphone-16-pro,iPhone 16 Pro,buying_guide,iPhone 16 Pro Review: The Sweet Spot in Apple's 2026 Lineup,iPhone 16 Pro Review: Apple's Best Value Pro in 2026 | Affordable Gadgets KE,"Is the iPhone 16 Pro the best value in Apple's 2026 lineup? We review the A18 Pro chip, 5x telephoto, titanium design, and more. Available at Affordable Gadgets KE.",True,blog_content/batches/002-apple-iphone-16/003-iphone-16-pro.json,2596
iphone-16-pro-max,iPhone 16 Pro Max,buying_guide,iPhone 16 Pro Max Review: The Ultimate iPhone for Power Users in 2026,iPhone 16 Pro Max Review: Best iPhone 2026 | Affordable Gadgets KE,"The iPhone 16 Pro Max is Apple's most powerful phone yet. We review its A18 Pro chip, 6.9-inch display, 5x telephoto, and battery. Available at Affordable Gadgets KE.",True,blog_content/batches/002-apple-iphone-16/004-iphone-16-pro-max.json,2650
iphone-16e,iPhone 16e,buying_guide,"iPhone 16e Review: Apple's Most Affordable iPhone in 2026, Fully Reviewed",iPhone 16e Review: Budget iPhone 2026 | Affordable Gadgets KE,"The iPhone 16e is Apple's most affordable 2026 iPhone. We review its A18 chip, 48MP camera, and value proposition. Available at Affordable Gadgets KE.",True,blog_content/batches/002-apple-iphone-16/005-iphone-16e.json,2445
